Stations,Drones,Iteration,APCount,Distance,APDistance,FlightTime,APFlightTime
5,1,1,5,2632.4053713602552,2632.4053713602552,4.8748247617782505,4.8748247617782505
5,1,2,5,2224.117085010236,2224.117085010236,4.118735342611549,4.118735342611549
5,1,3,4,1910.2135051784953,1889.4913876503101,3.537432416997214,3.4990581252783524
5,1,4,4,2921.812277155361,2901.708464004885,5.410763476213632,5.37353419260164
5,1,5,3,1065.7413677954414,948.8649105677848,1.9735951255471138,1.7571572417921941
5,1,6,5,2691.0342368626834,2691.0342368626834,4.983396734930896,4.983396734930896
5,1,7,5,1274.4446149721027,1274.4446149721027,2.360082620318709,2.360082620318709
5,1,8,5,2242.2570230842775,2242.2570230842775,4.15232782052644,4.15232782052644
5,1,9,5,2029.0351318392134,2029.0351318392134,3.757472466368913,3.757472466368913
5,1,10,5,2327.7380463013187,2327.7380463013187,4.310626011669109,4.310626011669109
5,2,1,5,2308.7871077723953,2308.7871077723953,2.1672920657092027,2.1672920657092027
5,2,2,5,3024.0843674248586,3024.0843674248586,2.976166984188561,2.976166984188561
5,2,3,3,1541.5635009785328,1455.5167121752474,1.4513193084981733,1.3756115654575773
5,2,4,4,2441.3422371777065,2350.3236708313575,2.2791665793854508,2.2791665793854508
5,2,5,5,2041.9441991691065,2041.9441991691065,1.8959436862184036,1.8959436862184036
5,2,6,5,2196.509626336993,2196.509626336993,2.1340205889357415,2.1340205889357415
5,2,7,5,2290.505704159831,2290.505704159831,2.1505439563703486,2.1505439563703486
5,2,8,5,2969.9743187314543,2969.9743187314543,2.762825989519752,2.762825989519752
5,2,9,4,1908.477415276372,1905.5080016148413,1.8234742879099224,1.8179753737219022
5,2,10,4,2012.7924765886708,2003.7070218954173,1.980204434395207,1.980204434395207
5,3,1,5,2696.072452453819,2696.072452453819,2.377591964331944,2.377591964331944
5,3,2,5,3678.7135608220424,3678.7135608220424,3.342226366749083,3.342226366749083
5,3,3,5,3292.2361461875744,3292.2361461875744,2.817594891397755,2.817594891397755
5,3,4,5,3526.107058018178,3526.107058018178,3.0655624713327967,3.0655624713327967
5,3,5,5,1837.3587026357698,1837.3587026357698,1.4101981937361867,1.4101981937361867
5,3,6,5,2701.776883152143,2701.776883152143,2.6262579917413125,2.6262579917413125
5,3,7,5,2618.119313575153,2618.119313575153,2.255236997452954,2.255236997452954
5,3,8,4,3500.3049688906985,3158.9883406703602,2.783905836308162,3.0660725723406537
5,3,9,5,3313.7667579304057,3313.7667579304057,2.640006178841595,2.640006178841595
5,3,10,5,3166.2582432411264,3166.2582432411264,2.5975225126326746,2.5975225126326746
5,4,1,5,2405.4664021219783,2405.4664021219783,2.122751267049707,2.122751267049707
5,4,2,5,2656.690596115079,2656.690596115079,2.0570373317664616,2.0570373317664616
5,4,3,5,3499.1557743432813,3499.1557743432813,2.479968016338927,2.479968016338927
5,4,4,5,2424.262289775744,2424.262289775744,1.8019862951015697,1.8019862951015697
5,4,5,4,2755.4348924510564,3409.594603201385,2.058252421988162,2.0286713742204823
5,4,6,5,2857.9186862630877,2857.9186862630877,2.0707718404506315,2.0707718404506315
5,4,7,5,3413.7164163284915,3413.7164163284915,2.6180086395990854,2.6180086395990854
5,4,8,5,2293.460055072599,2293.460055072599,1.7300712649709888,1.7300712649709888
5,4,9,5,2664.9926665023886,2664.9926665023886,2.259318929798402,2.259318929798402
5,4,10,5,2448.411665012469,2448.411665012469,2.217920163742563,2.217920163742563
5,5,1,5,5738.511421793043,5738.511421793043,2.5143163472605257,2.5143163472605257
5,5,2,5,3770.887505811963,3770.887505811963,1.8137752124400652,1.8137752124400652
5,5,3,4,2425.300859702108,2007.0844085670528,1.3022205894735477,1.3022205894735477
5,5,4,5,3631.2263312376767,3631.2263312376767,2.0339033134872815,2.0339033134872815
5,5,5,4,3816.162724131909,2823.620029836092,1.8643918016670897,1.8643918016670897
5,5,6,5,4519.814452922385,4519.814452922385,2.029833221743422,2.029833221743422
5,5,7,5,2851.4182484839034,2851.4182484839034,1.305371670790586,1.305371670790586
5,5,8,5,4496.664238938426,4496.664238938426,2.553314234528706,2.553314234528706
5,5,9,5,3516.009312378561,3516.009312378561,1.735023115874837,1.735023115874837
5,5,10,5,3355.313587767007,3355.313587767007,1.9532894066606823,1.9532894066606823
5,6,1,4,2431.1740738307626,2136.2283161057194,1.360002067697936,1.360002067697936
5,6,2,5,4651.204075969607,4651.204075969607,2.166651630210566,2.166651630210566
5,6,3,4,4518.494312504939,4231.229626196302,2.4696435434743242,2.4696435434743242
5,6,4,5,4513.384027151512,4513.384027151512,2.159543529982093,2.159543529982093
5,6,5,5,2029.6299509342812,2029.6299509342812,1.0828330595443831,1.0828330595443831
5,6,6,4,4075.1097462480834,3839.1224584548636,2.510118070881687,2.510118070881687
5,6,7,5,4487.400736002832,4487.400736002832,2.6716934360413727,2.6716934360413727
5,6,8,5,4622.4325600043685,4622.4325600043685,2.3541371224337913,2.3541371224337913
5,6,9,5,2674.6264090761256,2674.6264090761256,1.3894393970715062,1.3894393970715062
5,6,10,3,1984.4393652836732,1160.7697726424751,0.8783362811423192,0.7606085571626715
5,7,1,5,3116.039023827301,3116.039023827301,1.5453811885203754,1.5453811885203754
5,7,2,5,4584.580791756063,4584.580791756063,2.072655765060604,2.072655765060604
5,7,3,4,4252.143477985865,3593.2072139966986,2.1112126356354874,2.1112126356354874
5,7,4,4,971.2291100052635,870.9445149769143,0.6456379964783444,0.6456379964783444
5,7,5,2,4798.17794971476,1974.7574255946238,1.9277092882841993,1.9277092882841993
5,7,6,5,4245.294102302469,4245.294102302469,2.1868645461504643,2.1868645461504643
5,7,7,5,2040.785810574614,2040.785810574614,0.989952957827069,0.989952957827069
5,7,8,5,2857.609502280922,2857.609502280922,1.4920571597298928,1.4920571597298928
5,7,9,5,2882.0030873399583,2882.0030873399583,1.6746977288015958,1.6746977288015958
5,7,10,4,2653.1326456924007,2239.773237912682,1.1486289315947822,1.1486289315947822
5,8,1,5,3795.3888850594158,3795.3888850594158,1.9867945383765548,1.9867945383765548
5,8,2,4,5648.75384128406,4375.2547246765935,2.5207315984640646,2.5207315984640646
5,8,3,5,4287.313746679643,4287.313746679643,2.5417913009986965,2.5417913009986965
5,8,4,5,3773.3656967785564,3773.3656967785564,2.2183801663408067,2.2183801663408067
5,8,5,4,1750.0094335805813,1580.4688779603994,1.0302223180903032,1.0302223180903032
5,8,6,4,3922.940929587599,2973.321005618014,1.9431018292392366,1.9431018292392366
5,8,7,5,3721.186386638013,3721.186386638013,2.427529862755122,2.427529862755122
5,8,8,3,2757.284371891818,1462.9126135515107,1.2901999504760897,1.2856307264854099
5,8,9,5,2956.510172089028,2956.510172089028,1.5685742698561869,1.5685742698561869
5,8,10,4,3635.6335694664676,2681.5303255772124,1.7668578590541766,1.704574053050193
5,9,1,4,2380.3432498472475,2047.7864877749662,1.2180765831483118,1.2180765831483118
5,9,2,5,3973.045935883831,3973.045935883831,1.9672385302352764,1.9672385302352764
5,9,3,5,3227.6746029501155,3227.6746029501155,1.505021316539175,1.505021316539175
5,9,4,5,3982.1711462328935,3982.1711462328935,2.0361361644324627,2.0361361644324627
5,9,5,4,3729.074887536389,2976.7498248141637,1.4818390772126568,1.4818390772126568
5,9,6,5,4293.47092817986,4293.47092817986,2.4098705348032765,2.4098705348032765
5,9,7,5,4139.230135292142,4139.230135292142,1.7245146033837901,1.7245146033837901
5,9,8,5,3057.3938692161905,3057.3938692161905,1.7820261737557666,1.7820261737557666
5,9,9,5,3138.4394932796695,3138.4394932796695,1.597674922426444,1.597674922426444
5,9,10,4,1486.0682456573086,1348.3947187903034,0.9090800909694273,0.9090800909694273
